ID,URL,Title,body,Country,Group,Protest,Protest_Type,Discrim,Discrim_Type
6783,https://www.timesnownews.com/india/article/after-gang-rape-of-teen-girl-in-up-dalit-woman-from-ajmer-narrates-ordeal/660871,"After gang-rape of teen girl in UP, Dalit woman from Ajmer narrates ordeal",,IND,dalit,1,3,,
6786,http://www.daijiworld.com/news/newsDisplay.aspx?newsID=758291,AIADMK Dalit MLA Prabhu marries Brahmin girl creates sensation,,IND,dalit,0,,,
6789,https://www.telegraphindia.com/india/dalit-beaten-up-burnt-alive-in-amethi/cid/1796074,"Dalit beaten up, burnt alive in Amethi",,IND,dalit,0,,,
6790,https://www.news18.com/news/politics/nirmala-sitharaman-questions-congress-on-dalit-girls-rape-and-killing-in-punjab-targets-tejashwi-too-3002219.html,"Nirmala Sitharaman Questions Congress on Dalit Girl's Rape and Killing in Punjab, Targets Tejashwi Too",,IND,dalit,0,,,
6793,https://www.thenewleam.com/2020/10/from-acid-attacks-to-drinking-urine-what-upper-caste-india-makes-its-dalits-undergo/,"From Acid Attacks to Drinking Urine, What Upper Caste India Makes its Dalits Undergo",,IND,dalit,0,,,
6801,https://news.abplive.com/news/india/ram-vilas-paswan-death-pm-modi-condoles-death-of-one-of-india-noted-dalit-leader-1359320,'Saddened Beyond Words': PM Modi Condoles Death Of Ram Vilas Paswan - One Of India's Noted Dalit Leader,,IND,dalit,0,,,
6803,https://www.theweek.in/news/india/2020/10/10/tamil-nadu-dalit-panchayat-president-humiliated-forced-to-sit-on-the-floor-for-meetings.html,"Tamil Nadu Dalit panchayat president humiliated, forced to sit on the floor for meetings",,IND,dalit,0,,,
6806,https://www.youthkiawaaz.com/2020/10/the-ghosts-of-caste-still-haunts-india/,How Are Dalit Women Treated In India?,,IND,dalit,0,,,
6808,https://magazine.outlookindia.com/story/india-news-medias-conspiracy-of-silence/303808,Mediaâ€™s Conspiracy Of Silence | Outlook India Magazine,,IND,dalit,0,,,
6811,https://www.divyabhaskar.co.in/national/news/when-the-congress-was-at-the-center-nitish-demanded-special-state-status-for-bihar-while-the-nda-is-playing-dalit-cards-in-both-the-center-and-the-state-127782511.html,"When the Congress was at the Center, Nitish demanded special state status for Bihar; While the NDA is playing Dalit cards in both the Center and the state",,IND,dalit,0,,,
6822,https://scroll.in/latest/974872/uttar-pradesh-15-year-old-dalit-girls-body-found-in-field-police-suspect-murder,Uttar Pradesh crime: Dalit girlâ€™s dismembered body found in Kanpurâ€™s Dehat district,,IND,dalit,1,1,,
6835,https://www.sangbadpratidin.in/india/minor-raped-in-madhya-pradesh-bihar-dalit-dies-by-suicide-after-alleged-gang-rape/,"Minor raped in Madhya Pradesh, Bihar dalit dies by suicide after alleged gang rape | Sangbad Pratidin",,none,none,0,,,
6837,https://www.siasat.com/dalit-rape-case-hathras-sp-four-other-cops-suspended-by-yogi-1989497/,"Dalit rape case: Hathras SP, four other cops suspended by Yogi",,IND,dalit,0,,,
6854,https://feminisminindia.com/2020/10/21/intergenerational-dalit-trauma-caste-violence/,Dalit Trauma: Why It Is Important To Address Its Intergenerational Aspect | Feminism In India,,IND,dalit,0,,,
6859,https://zeenews.india.com/tamil-nadu/dalit-aiadmk-mla-a-prabhu-marries-brahmin-woman-her-father-attempts-suicide-2315313.html,"36-year-old Dalit MLA marries 19-year-old Brahmin girl, stirs row",,IND,dalit,1,1,,
6872,https://timesofindia.indiatimes.com/city/patna/bihar-seven-gang-rape-dalit-woman-after-killing-her-five-year-old-son-in-buxar-one-held/articleshow/78607958.cms,"Bihar: Seven gang-rape Dalit woman after killing her 5-yr-old son in Buxar, one held",,IND,dalit,0,,,
6879,https://velivada.com/2020/10/02/making-sense-of-dalit-sikh-history/,Making Sense of Dalit Sikh History,,IND,dalit,0,,,
6884,https://timesofindia.indiatimes.com/city/agra/dalit-man-25-kills-self-over-police-torture-in-up/articleshow/78451274.cms,"Dalit man, 25, kills self over 'police torture' in UP | Agra News - Times of India",,IND,dalit,1,3,,
6896,http://muslimmirror.com/eng/tamil-nadu-dalit-party-chiefs-demand-to-ban-manusmirti-spark-row/,Tamil Nadu: Dalit party chief's demand to ban Manusmirti trigger protests by BJP workers,,IND,dalit,1,3,,
6924,https://www.india.com/news/india/nirbhayas-lawyer-set-to-fight-hathras-gang-rape-case-stopped-from-meeting-dalit-victims-family-by-up-police-4160147/,"Nirbhayaâ€™s Lawyer, Set to Fight Hathras Gang Rape Case, Stopped from Meeting Dalit Victimâ€™s Family",,IND,dalit,0,,,
6933,https://mumbaimirror.indiatimes.com/news/india/dalit-woman-panchayat-president-in-tamil-nadu-barred-from-discharging-her-duties-forced-to-sit-on-the-floor/articleshow/78590690.cms,"Dalit woman panchayat president in Tamil Nadu barred from discharging her duties, forced to sit on the floor",,IND,dalit,0,,,
6937,https://sabrangindia.in/article/dalit-man-forced-fall-feet-after-row-over-baby-goat,Dalit man forced to fall at feet after row over baby goat | SabrangIndia,,IND,dalit,0,,,
6940,https://www.firstpost.com/india/woman-dalit-panchayat-chief-in-tamil-nadu-forced-to-sit-on-floor-barred-from-hoisting-flag-two-arrested-8901371.html,"Woman Dalit panchayat chief in Tamil Nadu forced to sit on floor, barred from hoisting flag; two arrested",,IND,dalit,0,,,
6945,https://www.thenewsminute.com/article/k-taka-caste-killing-family-allegedly-kills-woman-falling-love-dalit-man-135530,KÃ¢Â€Â™taka caste killing: Family allegedly kills woman for falling in love with Dalit man,,IND,dalit,0,,,
6968,https://www.indiatvnews.com/crime/balrampur-dalit-woman-gang-rape-murder-case-doctor-surfaces-as-key-witness-653782,Balrampur Dalit woman Gang rape murder Case Doctor surfaces as key witness,,IND,dalit,0,,,
6979,https://www.nationalheraldindia.com/national/fir-against-rjds-tejashwi-yadav-others-in-dalit-leader-murder-case,"FIR against RJDâ€™s Tejashwi Yadav, others in Dalit leader murder case",,IND,dalit,0,,,
